epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1656.37,1.19397,0.75762,0.88703,0.87728,0.84434,0.88938,0.54976,1.31978,0.85714,0.91691,0.00179705,0.00179705,0.00179705
43,1691.06,1.18171,0.7619,0.89001,0.90094,0.86614,0.92589,0.49074,1.59552,0.99434,0.9803,0.0017921,0.0017921,0.0017921
44,1729.42,1.20215,0.76491,0.89947,0.85757,0.8534,0.89128,0.46326,1.58635,0.96826,0.9793,0.00178715,0.00178715,0.00178715
45,1764.38,1.21351,0.77468,0.88354,0.9021,0.88976,0.93055,0.48167,1.48345,0.83461,0.93668,0.0017822,0.0017822,0.0017822
46,1800.84,1.19376,0.75376,0.88846,0.83442,0.77953,0.85076,0.46859,1.44758,1.04104,0.94164,0.00177725,0.00177725,0.00177725
47,1836.45,1.2714,0.83116,0.8964,0.89085,0.84252,0.89608,0.466,1.5914,0.93179,0.98215,0.0017723,0.0017723,0.0017723
48,1871.18,1.15528,0.75281,0.87898,0.95409,0.77165,0.89988,0.5476,1.29714,0.90855,0.92102,0.00176735,0.00176735,0.00176735
49,1903.08,1.15097,0.72559,0.88623,0.94977,0.88976,0.94953,0.53037,1.47781,0.8032,0.96716,0.0017624,0.0017624,0.0017624
50,1937.87,1.16456,0.75605,0.90349,0.94502,0.88189,0.95094,0.53562,1.3658,0.74684,0.92717,0.00175745,0.00175745,0.00175745
51,1974.22,1.24184,0.76506,0.87504,0.96405,0.88976,0.95732,0.50154,1.46636,0.78869,0.93691,0.0017525,0.0017525,0.0017525
52,2010.16,1.18217,0.74539,0.8727,0.98296,0.90855,0.96067,0.54717,1.39118,0.72956,0.91114,0.00174755,0.00174755,0.00174755
53,2045.77,1.17611,0.73656,0.87203,0.94119,0.88206,0.9196,0.53311,1.29175,0.83134,0.90597,0.0017426,0.0017426,0.0017426
54,2077.21,1.18658,0.76043,0.89982,0.98231,0.87468,0.9436,0.56662,1.36749,0.77298,0.91147,0.00173765,0.00173765,0.00173765
55,2112.5,1.16754,0.7671,0.87573,0.9823,0.87421,0.95698,0.56617,1.30849,0.68143,0.90242,0.0017327,0.0017327,0.0017327
56,2147.14,1.23624,0.75974,0.89338,0.9608,0.85039,0.92952,0.55142,1.33003,0.85437,0.90673,0.00172775,0.00172775,0.00172775
57,2181.4,1.21808,0.76162,0.88815,0.99117,0.88427,0.95491,0.55913,1.23937,0.7036,0.87994,0.0017228,0.0017228,0.0017228
58,2215.6,1.16795,0.78338,0.88162,0.98875,0.8189,0.94224,0.52702,1.34376,0.83162,0.91026,0.00171785,0.00171785,0.00171785
59,2248.55,1.21152,0.71595,0.8699,0.97185,0.81551,0.92729,0.57786,1.25106,0.80505,0.90228,0.0017129,0.0017129,0.0017129
60,2280.92,1.13126,0.68013,0.86892,0.96186,0.8189,0.90278,0.54326,1.26536,0.9165,0.8979,0.00170795,0.00170795,0.00170795
61,2312.81,1.20419,0.70514,0.8804,0.95355,0.80822,0.91334,0.54209,1.29515,0.84822,0.89549,0.001703,0.001703,0.001703
62,2348.41,1.14824,0.7003,0.87267,0.9636,0.89764,0.95381,0.56164,1.27662,0.78608,0.8955,0.00169805,0.00169805,0.00169805
63,2386.22,1.11588,0.70048,0.8731,0.94099,0.85827,0.94118,0.54575,1.28402,0.90095,0.89579,0.0016931,0.0016931,0.0016931
64,2424.89,1.18079,0.7008,0.88752,0.88761,0.68408,0.72336,0.40913,1.28585,1.01948,0.91027,0.00168815,0.00168815,0.00168815
