epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2899.12,1.29214,0.74148,0.82327,0.81345,0.78353,0.81407,0.45903,1.50492,1.12382,0.87209,0.0017228,0.0017228,0.0017228
44,2971.27,1.27412,0.71965,0.83148,0.28808,0.09375,0.07176,0.03259,2.05149,18.613,0.90668,0.0017162,0.0017162,0.0017162
45,3032.45,1.27179,0.72846,0.84723,0.8366,0.66406,0.76665,0.4384,1.42666,1.26014,0.86125,0.0017096,0.0017096,0.0017096
46,3092.88,1.21371,0.68374,0.83519,0.71466,0.57812,0.67636,0.37244,1.55961,1.36284,0.86265,0.001703,0.001703,0.001703
47,3153.11,1.36259,0.76676,0.83772,0.76617,0.53906,0.73072,0.37247,1.71275,1.46688,0.85953,0.0016964,0.0016964,0.0016964
48,3212.27,1.33995,0.74257,0.84416,0.76454,0.625,0.6797,0.30072,1.92475,1.32706,0.87385,0.0016898,0.0016898,0.0016898
49,3275.4,1.25792,0.71218,0.83355,0.83677,0.75,0.82177,0.44672,1.49226,1.05142,0.87116,0.0016832,0.0016832,0.0016832
50,3337.16,1.27725,0.72694,0.82849,0.83459,0.74894,0.81202,0.45378,1.42717,0.98044,0.86154,0.0016766,0.0016766,0.0016766
51,3402.4,1.23617,0.70408,0.81896,0.80522,0.77512,0.81983,0.3897,1.6396,1.19684,0.881,0.00167,0.00167,0.00167
52,3463.77,1.2687,0.75065,0.8184,0.93737,0.78125,0.83643,0.47772,1.3425,0.93458,0.85201,0.0016634,0.0016634,0.0016634
53,3523.58,1.2499,0.71134,0.82348,0.92856,0.75,0.85036,0.47915,1.42164,1.11947,0.85754,0.0016568,0.0016568,0.0016568
54,3583.98,1.30493,0.74042,0.8297,0.89603,0.71875,0.80787,0.45217,1.47088,1.14385,0.86551,0.0016502,0.0016502,0.0016502
55,3650.77,1.31063,0.74007,0.83429,0.86759,0.67188,0.78632,0.47041,1.35565,1.06679,0.85402,0.0016436,0.0016436,0.0016436
56,3712.24,1.26705,0.75394,0.83395,0.85747,0.79903,0.84967,0.47673,1.3504,0.91638,0.85244,0.001637,0.001637,0.001637
57,3771.6,1.22155,0.68338,0.81898,0.4907,0.10156,0.12247,0.06945,2.74007,4.45399,1.02724,0.0016304,0.0016304,0.0016304
58,3836.05,1.25231,0.72319,0.83138,0.85317,0.68093,0.79571,0.4516,1.37215,0.92271,0.85074,0.0016238,0.0016238,0.0016238
59,3895.7,1.22577,0.69746,0.82268,0.85626,0.69531,0.8105,0.51331,1.36637,1.11664,0.85754,0.0016172,0.0016172,0.0016172
60,3956.05,1.22564,0.65182,0.8403,0.82182,0.6486,0.76848,0.42611,1.46379,1.08961,0.86978,0.0016106,0.0016106,0.0016106
61,4016.55,1.24672,0.69355,0.81554,0.95847,0.78906,0.87366,0.53763,1.3606,0.95782,0.85975,0.001604,0.001604,0.001604
62,4076.31,1.15243,0.6253,0.81652,0.92462,0.73438,0.84668,0.51248,1.30078,0.98621,0.85011,0.0015974,0.0015974,0.0015974
63,4136.79,1.17761,0.64884,0.81922,0.7934,0.72004,0.80442,0.38827,1.60808,1.11509,0.87481,0.0015908,0.0015908,0.0015908
64,4198.18,1.20205,0.67229,0.83564,0.94705,0.75781,0.85608,0.51734,1.23775,0.78539,0.84742,0.0015842,0.0015842,0.0015842
65,4259.14,1.21559,0.66915,0.82027,0.90607,0.75363,0.87072,0.53201,1.23478,0.78386,0.84596,0.0015776,0.0015776,0.0015776
66,4319.61,1.13398,0.59204,0.81713,0.95206,0.75,0.86883,0.53129,1.20325,0.85644,0.8423,0.001571,0.001571,0.001571
67,4382.72,1.12034,0.63385,0.82487,0.88036,0.79688,0.86007,0.51649,1.31119,0.86873,0.84915,0.0015644,0.0015644,0.0015644
68,4443.57,1.18563,0.70125,0.83027,0.86945,0.72656,0.82643,0.46535,1.35742,0.91221,0.85169,0.0015578,0.0015578,0.0015578
