epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9806,2.09102,11.3346,0.96378,0.00026,0.07812,0.00015,4e-05,1.94766,11.7538,0.93428,0.0003,0.0003,0.0003
2,78.975,1.93722,8.31169,0.91402,0.00018,0.05469,0.0001,2e-05,1.97059,12.3296,0.94679,0.000618772,0.000618772,0.000618772
3,114.318,1.92641,6.23041,0.91231,5e-05,0.01562,3e-05,1e-05,2.4205,11.9685,0.97465,0.000936278,0.000936278,0.000936278
4,156.244,1.90767,5.05752,0.89367,0.00058,0.14844,0.00035,0.00014,2.11084,16.7391,0.9731,0.00125252,0.00125252,0.00125252
5,197.697,1.83288,4.47934,0.91222,0.00133,0.23438,0.00226,0.00083,2.18543,8.55056,0.96804,0.00156749,0.00156749,0.00156749
6,240.344,1.72872,3.57483,0.90127,0.00263,0.13281,0.06538,0.02525,1.94668,7.01919,0.90968,0.00188119,0.00188119,0.00188119
7,286.337,1.91897,3.63765,0.9006,0,0,0,0,4.10956,6.65476,2.1203,0.00197624,0.00197624,0.00197624
8,326.357,1.86287,2.92844,0.90294,0,0,0,0,4.48727,55.8151,7.63967,0.00197228,0.00197228,0.00197228
9,375.169,1.92594,2.63716,0.8837,0.6019,0.02344,0.03236,0.01583,2.31751,3.92247,1.33875,0.00196832,0.00196832,0.00196832
10,423.073,1.825,2.25157,0.8921,0.8008,0.0625,0.07653,0.03512,1.97217,3.26924,0.93637,0.00196436,0.00196436,0.00196436
11,469.989,1.64467,1.85758,0.87092,0.90542,0.09375,0.10885,0.04183,1.95838,2.69635,0.90071,0.0019604,0.0019604,0.0019604
12,516.855,1.7493,1.81686,0.8958,1,0.06363,0.14931,0.06999,1.90178,3.31451,0.88784,0.00195644,0.00195644,0.00195644
13,558.418,1.76594,1.66423,0.89081,0.71213,0.34375,0.43236,0.22072,1.84853,1.88186,0.90756,0.00195248,0.00195248,0.00195248
14,604.554,1.74377,1.56834,0.88267,0.35622,0.03906,0.04087,0.01354,2.51462,3.21301,1.01114,0.00194852,0.00194852,0.00194852
15,655.338,1.68013,1.42143,0.88013,0.30172,0.14844,0.09667,0.04211,1.93282,3.15992,0.90611,0.00194456,0.00194456,0.00194456
16,701.05,1.5661,1.32376,0.85423,0.80427,0.375,0.39895,0.18087,1.74065,1.50825,0.88167,0.0019406,0.0019406,0.0019406
17,746.098,1.65476,1.36364,0.86693,0.82365,0.58594,0.6686,0.33105,1.69578,1.5713,0.88963,0.00193664,0.00193664,0.00193664
18,785.956,1.61263,1.2486,0.87716,0.85771,0.65932,0.71353,0.3265,1.65174,1.40595,0.8749,0.00193268,0.00193268,0.00193268
19,834.246,1.69077,1.26329,0.8671,0.6144,0.51038,0.48506,0.22223,1.69596,2.05206,0.88448,0.00192872,0.00192872,0.00192872
20,876.821,1.65882,1.21303,0.8723,0.82337,0.47346,0.57195,0.27718,1.62406,1.80046,0.8765,0.00192476,0.00192476,0.00192476
21,916.344,1.50764,1.08698,0.86618,0.87407,0.65073,0.77915,0.35046,1.62632,1.35877,0.87038,0.0019208,0.0019208,0.0019208
22,958.371,1.47682,1.09339,0.8501,0.71749,0.55557,0.62326,0.30742,1.70604,1.47977,0.87198,0.00191684,0.00191684,0.00191684
23,996.951,1.63184,1.14034,0.85425,0.00985,0.07812,0.0195,0.01008,2.89145,4.88426,0.96009,0.00191288,0.00191288,0.00191288
24,1033.67,1.53297,1.05007,0.8591,0.80022,0.61719,0.72289,0.37044,1.56983,1.12536,0.8615,0.00190892,0.00190892,0.00190892
25,1070.44,1.50796,1.0416,0.84915,0.78792,0.66758,0.74066,0.37818,1.66304,1.18021,0.88098,0.00190496,0.00190496,0.00190496
26,1106.74,1.48868,1.01595,0.85336,0.7695,0.75638,0.79832,0.41354,1.60132,1.09738,0.87469,0.001901,0.001901,0.001901
27,1145.64,1.48035,1.06027,0.85401,0.77645,0.73438,0.7885,0.37002,1.80484,1.17565,0.8977,0.00189704,0.00189704,0.00189704
28,1185.64,1.44799,0.97634,0.85521,0.7552,0.67486,0.68525,0.32579,1.71318,1.20701,0.88729,0.00189308,0.00189308,0.00189308
29,1226.02,1.48303,0.98663,0.85478,0.82922,0.58594,0.70369,0.36062,1.52363,1.18699,0.85892,0.00188912,0.00188912,0.00188912
30,1264.82,1.41504,0.97621,0.83979,0.87968,0.64844,0.78319,0.40114,1.56225,1.15529,0.85443,0.00188516,0.00188516,0.00188516
